Lens,Capacity,Wording,Study,Year,Country,Robot Type,Age group,Population,Age,N,% Endorsing,% Ambivalent or Pretending,% Rejecting,Notes
3) social partner (social-emotional),morality,"""How capable is __ of telling right from wrong?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,6%,29%,65%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),personality,"""How capable is __ of having a personality?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,10%,28%,62%,
3) social partner (social-emotional),personality,"""How capable is __ of having a personality?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,7%,29%,64%,
3) social partner (social-emotional),personality,"""Can __ have a personality, like when someone is shy and somebody else is silly?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,102,7%,30%,63%,
3) social partner (social-emotional),personality,"""How capable is __ of having a personality?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,3%,26%,71%,
3) social partner (social-emotional),pride,"""How capable is __ of experiencing pride?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,2%,8%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),pride,"""How capable is __ of experiencing pride?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,10%,88%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),pride,"""How capable is __ of experiencing pride?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,1%,9%,90%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),pride,"""Can __ feel proud?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,1%,9%,90%,
3) social partner (social-emotional),sadness,"""Can __ be upset?""","Kahn, Kanda, Ishiguro, Gill, Ruckert, Shen, Gary, Reichert, Freier, & Severson (2012)",2012,US,humanoid,adults,undergraduates,-,40,28%,-,-,
3) social partner (social-emotional),sadness,"""Can __ feel sad?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,3%,4%,93%,
3) social partner (social-emotional),sadness,"""How capable is __ of feeling depressed?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,2%,6%,92%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),sadness,"""How capable is __ of feeling depressed?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,1%,8%,91%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),sadness,"""How capable is __ of feeling depressed?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,0%,6%,94%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),self-awareness,"""How capable is __ of being self-aware?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,6%,20%,75%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),self-control,"""Can __ have self-control, like when you stop yourself from doing something you shouldn't do?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,adults,MTurk,18-65 years,101,17%,27%,56%,
3) social partner (social-emotional),self-control,"""How capable is __ of exercising self-restraint?""","Weisman, Dweck, & Markman (2016), Study 3",2016,US,humanoid,adults,MTurk,20-68 years,200,10%,21%,69%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),self-control,"""How capable is __ of exercising self-restraint?""","Weisman, Dweck, & Markman (2016), Study 2",2016,US,humanoid,adults,MTurk,20-70 years,204,8%,21%,71%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),self-control,"""How capable is __ of exercising self-restraint?""","Weisman, Dweck, & Markman (2016), Study 1",2016,US,humanoid,adults,MTurk,20-75 years,205,6%,20%,74%,"derived from 7-point scale (-3 to 3): >1: yes, <-1: no, otherwise ambiv"
3) social partner (social-emotional),anger,"""Do you think __ can be angry?""",Okita (2015),2015,-,-,children,-,4-7 years,77,61%,-,-,
3) social partner (social-emotional),anger,"""Can __ get angry?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,40%,22%,37%,
3) social partner (social-emotional),belief,"""Can __ have beliefs, like when you think something is true?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,39%,24%,37%,
3) social partner (social-emotional),calmness,"""Can __ feel calm?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,48%,19%,32%,
3) social partner (social-emotional),disrespect,"""Can __ get hurt feelings?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,31%,20%,49%,
3) social partner (social-emotional),embarrassment,"""Can __ feel embarrassed?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,22%,16%,62%,
3) social partner (social-emotional),emotion recognition,"""Can __ understand how somebody else is feeling?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,38%,27%,35%,
3) social partner (social-emotional),emotion recognition,"""Does __ know how you are feeling?""","Beran, Ramirez-Serrano, Kuzyk, Fior, & Nugent (2011)",2011,Canada,robotic arm,children,museum visitors,5-16 years,184,29%,15%,56%,
3) social partner (social-emotional),emotions,"""Does __ have feelings?""","Bartlett, Estivill-Castro, & Seymon (2004)",2004,Australia,dog,children,school children,12 years,23,75%,-,-,
3) social partner (social-emotional),emotions,"""Does __ have feelings?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,school children,12 years,30,70%,-,-,
3) social partner (social-emotional),emotions,"""Does __ have feelings?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,community sample,9 years,30,67%,-,-,
3) social partner (social-emotional),emotions,"""Is it silly or ok to say __ has feelings?""",Nigam & Klahr (2000),2000,US,-,children,school children,5-10 years,28,58%,-,-,
3) social partner (social-emotional),emotions,"""Does __ have feelings?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,school children,15 years,30,43%,-,-,
3) social partner (social-emotional),guilt,"""Can __ feel guilty?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,31%,22%,47%,
3) social partner (social-emotional),happiness,"""Do you think __ is happy if you stroke him?""","Weiss, Wurhofer, & Tscheligi (2009)",2009,Austria,dog,children,mall visitors,3-15 years,129,99%,-,-,
3) social partner (social-emotional),happiness,"""Do you think __ can be happy?""",Okita (2015),2015,-,-,children,-,4-7 years,77,84%,-,-,
3) social partner (social-emotional),happiness,"""Can __ feel happy?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",3 years,20,79%,-,-,
3) social partner (social-emotional),happiness,"""Can __ feel happy?""","Melson, Kahn, Beck, & Friedman (2009)",2009,US,dog,children,community sample,7-15 years,72,75%,-,-,
3) social partner (social-emotional),happiness,"""Can __ feel happy?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",5 years,20,70%,-,-,
3) social partner (social-emotional),happiness,"""Can __ feel happy?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,58%,15%,27%,
3) social partner (social-emotional),happiness/sadness,"""Does __ feel sometimes happy or sad?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,3 years,13,92%,0%,8%,
3) social partner (social-emotional),happiness/sadness,"""Does __ feel sometimes happy or sad?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,4 years,25,72%,0%,28%,
3) social partner (social-emotional),happiness/sadness,"""Does __ feel sometimes happy or sad?""","Mikropoulos, Milsailidi, & Bonoti (2003)",2003,Greece,humanoid,children,school children,5 years,16,69%,0%,31%,
3) social partner (social-emotional),happiness/sadness,"""Does __ have feelings, like happy or sad?""",Severson (2010),2010,US,dinosaur,children,school children,10 years,26,69%,4%,27%,
3) social partner (social-emotional),happiness/sadness,"""Does __ have feelings, like happy or sad?""",Severson (2010),2010,US,dinosaur,children,community sample,7 years,26,65%,12%,23%,
3) social partner (social-emotional),happiness/sadness,"""Which cards have things on them that can feel happy or sad?""",Bernstein & Crowley (2008),2008,US,humanoid,children,museum visitors,4-7 years,60,37%,-,-,
3) social partner (social-emotional),happiness/sadness,"""Which cards have things on them that can feel happy or sad?""",Bernstein & Crowley (2008),2008,US,rover,children,museum visitors,4-7 years,60,30%,-,-,
3) social partner (social-emotional),joy,"""Can __ feel joy?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,39%,22%,38%,
3) social partner (social-emotional),left out,"""If a friend came over and you were playing with your friend, would __ feel left out?""","Beran, Ramirez-Serrano, Kuzyk, Fior, & Nugent (2011)",2011,Canada,robotic arm,children,museum visitors,5-16 years,184,69%,2%,29%,
3) social partner (social-emotional),left out,"""If you weren't playing with __, could __ feel left out by you?""",Severson (2010),2010,US,dinosaur,children,school children,10 years,25,52%,12%,40%,
3) social partner (social-emotional),left out,"""If you weren't playing with __, could __ feel left out by you?""",Severson (2010),2010,US,dinosaur,children,community sample,7 years,25,48%,8%,44%,
3) social partner (social-emotional),love,"""Can __ feel love?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,33%,22%,45%,
3) social partner (social-emotional),morality,"""Can __ know what's nice and what's mean?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,45%,26%,28%,
3) social partner (social-emotional),personality,"""Can __ have a personality, like when someone is shy and somebody else is silly?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,46%,29%,26%,
3) social partner (social-emotional),pride,"""Can __ feel proud?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,93,52%,18%,30%,
3) social partner (social-emotional),sadness,"""Do you think __ can be sad (e.g., if he is alone)?""","Weiss, Wurhofer, & Tscheligi (2009)",2009,Austria,dog,children,mall visitors,3-15 years,129,87%,-,-,
3) social partner (social-emotional),sadness,"""Can __ be sad?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,school children,12 years,30,73%,-,-,
3) social partner (social-emotional),sadness,"""Can __ be sad?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,community sample,9 years,30,70%,-,-,
3) social partner (social-emotional),sadness,"""Do you think __ can be sad?""",Okita (2015),2015,-,-,children,-,4-7 years,77,62%,-,-,
3) social partner (social-emotional),sadness,"""Can __ be sad?""","Kahn, Kanda, Ishiguro, Freier, Severson, Gill, Ruckert, & Shen (2012)",2012,US,humanoid,children,school children,15 years,30,46%,-,-,
3) social partner (social-emotional),sadness,"""Can __ feel sad?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,94,31%,21%,48%,
3) social partner (social-emotional),safety,"""Can __ feel safe?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,42%,23%,35%,
3) social partner (social-emotional),self-control,"""Can __ have self-control, like when you stop yourself from doing something you shouldn't do?""","Weisman, Dweck, & Markman (2017)",2017,US,humanoid,children,museum visitors,7-9 years,95,47%,23%,29%,
3) social partner (social-emotional),social preference,"""Do you think __ likes you?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",5 years,20,95%,-,-,
3) social partner (social-emotional),social preference,"""Do you think __ likes to sit in your lap?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",5 years,20,80%,-,-,
3) social partner (social-emotional),social preference,"""Do you think __ likes to sit in your lap?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",3 years,20,74%,-,-,
3) social partner (social-emotional),social preference,"""Do you think __ likes you?""","Melson, Kahn, Beck, & Friedman (2009)",2009,US,dog,children,community sample,7-15 years,72,68%,-,-,
3) social partner (social-emotional),social preference,"""Do you think __ likes you?""","Kahn, Friedman, Prez-Granados, & Freier (2006)",2006,US,dog,children,"university prechool, community",3 years,20,65%,-,-,
3) social partner (social-emotional),social preference,"""Does __ like you?""","Beran, Ramirez-Serrano, Kuzyk, Fior, & Nugent (2011)",2011,Canada,robotic arm,children,museum visitors,5-16 years,184,64%,27%,9%,
3) social partner (social-emotional),upset,"""If someone was mean to __, could __ get upset?""",Chernyak & Gary (2016),2016,US,dog (autonomous),children,summer camp attendees,"5 years, 7 years",41,85%,-,-,
3) social partner (social-emotional),upset,"""If someone was mean to __, could __ get upset?""",Chernyak & Gary (2016),2016,US,dog (remote-controlled),children,summer camp attendees,"5 years, 7 years",39,74%,-,-,
,,,,,,,,,,,,,,
